# File generated on : 2021-01-18 14:52:26.129860 by damien-mouad 
#  O3,NO2,SO2,CO
6.675081992048994550e-01,2.236736153713765329e+00,2.586260950650428048e-01,1.523147134161747296e+00
7.186626255164653143e-01,6.561783158778402569e-01,2.661783000489719928e-02,8.036610523268743200e-02
5.065663044702131135e-01,8.223780986070738930e-01,3.284628442825577449e-02,1.516412914504554343e-01
1.753494509526648537e-01,2.175588507933541305e-01,1.094045254932819559e-02,1.400514492542917155e+00
7.076336688572664180e-01,-3.336076688073923435e-01,3.795479916654802555e-01,1.943805266985554336e+00
3.934073198837912955e-01,-3.985174296998558185e-01,9.059427852420259830e-01,1.554433334728221316e+00
1.053782567177442564e-01,2.560615488749642843e+00,6.310844773399200414e-02,3.575752551949914343e-02
9.161025945521351632e-01,7.062702550054210660e-01,5.082442949514375252e-01,4.790204495428861398e-01
7.405613403734840894e-01,-6.312883145304055699e-01,1.989458774462063095e+00,4.597269963312825003e-01
1.379837744653289455e-01,9.471825811856544597e-01,5.991988953299075549e-01,1.030567415168469614e-01
9.108140726800587617e-01,-7.143748197857011650e-01,5.301886430122608740e-01,1.756601032367860249e+00
7.162822186105072264e-01,7.003270345646653849e-01,2.407640241418259830e+00,6.041779971128944382e-01
6.641415039428969491e-01,9.950578949712300947e-01,1.185917510939624511e-02,1.529881931321422028e+00
7.325781816207190822e-01,2.553468177444886411e-01,4.210563553998504238e-01,8.827662454353011334e-01
7.275783686085657287e-01,2.182162870676312760e+00,3.060492817585068123e-02,9.317641578119221224e-01
3.518496811451776729e-02,5.650551155388751079e-01,5.373038255711055644e-01,8.166214922682937805e-02
4.209911169717179824e-01,-2.060334387825424329e-02,5.992328343192909745e-01,5.632574495468173348e-01
7.428947987793088625e-02,-9.658453667466972981e-01,8.936983698411848226e-03,2.544849971542874734e+00
4.652267217926071563e-01,-1.191820907958287545e-01,1.641913141836242929e+00,1.781689206528178193e+00
2.347189878676660957e-01,2.566994689826040954e-01,4.179263155189577236e-03,4.183355040744062947e+00
2.217791713326843217e-01,1.881775950367717165e+00,1.083156156339842337e-02,1.169163756886791194e+00
4.659473762442751799e-01,2.516857859953132714e-01,1.387541752651842764e+00,1.932388753971252537e-01
4.858975469044912732e-02,-1.831187137671236087e+00,1.498166158797645253e-01,3.521597463931911975e-01
4.339945937243516738e-01,1.288531493821660989e+00,1.066886088482619233e+00,2.278531880194693215e+00
7.603556207991847282e-01,1.375821793819200556e+00,2.134197786869295455e-01,5.934357831177327069e-01
9.803105065918258365e-01,8.066303833103699583e-02,4.380552872936840370e-01,9.100610275153111495e-01
5.750820291210556601e-01,-1.442579153307966822e-01,9.515176608121305168e-01,5.053075670678444098e-01
1.825274429405576715e-01,4.583140197466192833e-01,9.553162374261316980e-01,2.893026133307565750e+00
7.974044992384415886e-01,-5.645658915216253959e-01,1.213558531433911902e+00,6.302253545207439078e-01
7.508439573884829743e-01,-4.598424653658597094e-01,1.055409877580121454e-02,2.382730507244844365e+00
4.333575608337071339e-01,9.705653502546538469e-01,2.974481423552972625e-01,1.976245382644787330e-01
1.662110025328484841e-01,1.159668779412563078e+00,3.859856813785777496e-01,3.020264832589951154e-01
9.326792952779372481e-01,1.482830569121897479e+00,1.229256504904237962e-02,7.288638478918870733e-01
3.866049905483902593e-01,1.234222586366954477e+00,4.795268805869973283e-02,1.456676954738014840e-01
8.594657464722311735e-01,1.597918571062479032e+00,1.591322927002167820e-01,4.631883931507053132e-01
9.656916203362558848e-01,1.418340304260074625e+00,3.871767839896398528e-02,7.806245465543651951e-01
4.488726287981483765e-01,-3.761339182156875349e-01,2.959087495665453815e+00,6.391147091896961507e-01
5.716808901060469461e-01,1.015043492470202868e-01,7.408848114155914821e-01,1.206262461490853033e+00
2.838759650558835279e-01,3.095400383403487110e-01,8.916990365708345190e-02,5.187315393127103214e-01
9.394369264520364693e-01,-9.097415806916337999e-01,1.378760880293356861e+00,7.017624435690437146e-01
5.271291618371731769e-02,2.528966441050845004e-01,1.093316501293684212e-01,3.446723544591758226e-01
4.162407240811621945e-01,3.776823241068223980e-01,4.559213719262863139e-03,7.060893495837960998e-01
1.684947626662413045e-01,7.416297604483295114e-01,1.454625396790290015e-01,1.105031050771819512e+00
8.059050757597516768e-01,2.620301639601441135e-01,9.917307239679291619e-01,2.196768881497853432e+00
5.739448596488858634e-01,2.147940505654440280e+00,1.427011763393542243e-01,5.552733269023964191e-02
9.241183459293812463e-01,2.215894616385556404e+00,1.619819821126581516e+00,6.743963028112694158e-02
4.230228425716098251e-01,-1.381825682377889386e+00,1.290437475434874859e+00,8.663335102103761898e-01
2.992026844737647462e-01,5.693981148305737872e-02,4.447220507030386627e-01,3.231483257208347948e-01
1.521293157020006115e-01,-3.319848154272586616e-02,2.281276607627877429e+00,1.770225013077890430e-02
3.932908730209944137e-01,1.786910470588248367e+00,1.125186940893379978e-01,8.076448665880366917e-01
6.558459485179506387e-01,-4.433138369459187489e-01,2.932012142022621393e-01,2.151655080919080198e+00
3.086485566452873419e-01,2.072476818020835054e+00,2.648338815961129633e+00,8.102954012900122072e-01
8.310828052142930078e-01,1.649335012040042070e+00,2.758016154480649185e-01,1.008836634254118403e+00
8.786218093582930377e-01,3.757112298631961056e-01,2.687533433011826123e-01,2.153678054892759486e-01
4.951402135001508054e-01,1.311058183497826324e+00,6.641899795063435086e-01,6.098677108958522330e-01
1.191303081887926663e-01,8.404422690848811772e-01,3.753947587252418616e-01,6.685814082289820437e-01
6.408911024218126862e-01,2.097247623085517709e+00,1.415040774655273448e-01,1.191631475331325074e+00
6.525012174523603381e-01,-3.517023800342478079e-02,4.762450588244118710e-01,8.742354449721286003e-02
7.717771439242016029e-03,2.058469392535870135e+00,4.953140316231796625e-01,1.751187663521084348e+00
5.805954348680502086e-01,7.855254810786591602e-01,1.927941180625387385e-01,3.803971118615346314e-01
4.171396551053984103e-01,-5.485872417569725989e-02,2.314126624752772809e-02,8.013132030632068581e-01
2.020407003434171456e-01,-1.195188293930528722e+00,7.178700993984435397e-02,2.863769451244417841e+00
8.713948790090912944e-01,-9.982816254431203795e-02,1.506282015867919455e-03,2.469789291572223267e+00
1.677886749435004710e-01,1.845496538382716212e+00,5.708680017492182568e-01,3.185302809735612861e-01
8.079348526896464877e-01,5.347510985622772051e-01,1.200410795450700813e-01,2.935329956935853968e+00
3.667935905604803315e-01,-9.082394334716237250e-02,1.053466941118304766e-02,8.850980493996292442e-02
2.045386944871638857e-01,1.652056709205014684e+00,4.585548442330008023e-01,1.571673698398733610e+00
3.451613152410003549e-01,8.132968185969471353e-01,2.704477064969905142e-01,7.269160743330380647e-01
8.763535714700754209e-02,-2.067998455496065091e-01,2.081984022295152448e-01,7.901613650146108725e-01
4.527620051587013528e-01,1.158330600966549717e+00,6.628099471131332007e-03,8.792955217070287655e-02
2.967016654899785610e-01,-2.816507749951894235e-01,1.819877832079430380e-01,7.429685425466224791e-01
7.339935397609088641e-01,-4.260671304063651244e-01,4.388419772129460023e-02,2.104732233360845584e+00
4.987123240426785120e-01,3.776816929409037016e-01,2.945024377502630797e-02,1.627056609979844026e+00
5.715648445460308480e-01,-1.210496399128229150e-01,1.832885888174962119e-02,4.566940270498134197e-02
9.775505989336689128e-01,-9.460926486399892088e-01,1.735209033529337350e-02,2.171633438981243724e+00
3.432763734366077735e-01,1.820754574622912569e-02,2.267273170992909481e-01,3.247993039008811866e+00
6.743798961356447519e-01,-6.501315363520439039e-01,1.213585325575279095e+00,9.558958275264383131e-01
9.074318706998097950e-01,2.859302628774280652e-01,8.272181178581073935e-01,1.262562072525306167e-01
1.158502115265171994e-01,-2.746476126736078216e-01,4.605856304231756848e-01,8.478192206241896844e-01
3.217737990505070700e-01,1.147541759783152759e+00,1.770762091307117952e-04,1.174849073617943995e+00
7.196333383150342877e-01,3.482036277546061154e-01,8.118926267197794366e-02,3.210789689897858512e+00
2.162261524202356844e-01,1.607270831891653096e+00,4.654970391111254990e-01,8.575420764152223707e-02
5.241429093982423737e-01,3.907956697574754834e-02,8.708478755834869744e-01,9.339974516982521013e-01
9.400831891214007641e-01,1.350811319276745692e-01,6.173316865021190834e-03,2.183172479506295671e-01
9.095700092621551436e-01,2.377870727457249700e+00,4.254842901528200355e-02,9.376609550503830492e-01
6.852862259450226423e-01,1.564076583364278239e+00,2.865025441563548991e-01,2.396792426019411337e+00
2.281382777288718522e-01,2.630102021727525052e+00,5.857741137408580823e-01,2.943300291377128453e+00
6.808764930467140486e-01,1.111663563706327906e+00,3.054547320219310608e-02,3.493358186123608489e-01
4.054782526136750942e-01,6.071042899737882914e-02,1.795300747339410474e+00,3.671938751313016169e+00
9.277383616893164486e-01,4.229267799975994779e-01,1.096782562353289803e-01,3.936368304879213742e+00
1.613224499724863481e-01,-1.889470713033731819e-01,4.776365797877995091e-04,9.510540016806075247e-02
6.430533907515109115e-01,7.880120292426092687e-01,1.084500051670650098e-02,6.105762526315424710e-01
5.945067877254694988e-02,-6.726305574346558291e-01,6.009726214687708401e-01,2.508378749658727314e-01
2.693743636899000871e-01,-5.733557229025798563e-01,6.146993549405482815e-01,2.037229279189398112e-01
9.525570945600777550e-01,7.610033733578093207e-01,3.405214168302445610e-01,1.894935613125788620e+00
8.487252152817201800e-01,-8.575887103334600692e-01,8.723859174117102322e-01,7.376543229484908148e-02
7.883964007052461920e-01,9.710076320710101516e-01,2.089742590477413342e-01,3.530301936515876926e-02
5.041573612189409470e-02,6.356614441852918018e-01,5.069801388263286968e-02,1.177604819099902445e+00
6.877846555398636763e-02,-9.247650898579748979e-01,4.671436734525922368e-02,2.600831258102376253e+00
8.560163907863280741e-01,2.230888556737834705e+00,3.273058801984830846e-02,7.939709096137288480e-01
7.191005864029484940e-01,1.520809275287850149e+00,3.199763710775187509e+00,1.431247453890149179e+00
2.688276593646755641e-01,1.636828374182601520e+00,1.988700468121781917e+00,1.090742997992443675e+00
5.746776768084247422e-01,1.422393994927871219e+00,3.857728498863758348e-01,7.093671063151403278e-01
1.967034497149305894e-01,3.190673877783343770e-01,1.231771479920182599e-01,1.020733815399086808e+00
7.823524625008475564e-01,-2.813124955190304810e-02,5.465791569748343348e-03,2.231977231661507743e-01
7.903153900543987698e-01,-1.886485742678662092e+00,6.815712338646028046e-02,6.363767245652537374e-01
5.947328642567961676e-02,6.901483307824615165e-01,2.019483127777372378e+00,9.178296633384694925e-01
6.006299711838474220e-01,1.689622565699606893e+00,1.797273204430463803e-02,3.327824625955209947e-02
1.539284417652763137e-01,1.059115923011564320e+00,2.005182922051690075e-01,4.592605585815546787e-01
9.303745484612423455e-01,1.017412796251362384e+00,2.541299424377283067e+00,1.074600667283424960e+00
1.523134922357545218e-01,2.562011379104868869e+00,4.245862180440020811e-02,1.158495157180995383e+00
8.418308163289864865e-01,-1.261400515527542066e+00,4.830000062530163257e-02,3.357807309039779753e-01
7.213155762266764137e-01,-3.967229490111248147e-01,1.409374706036823667e-02,6.697843019040231050e-02
6.232954080518022799e-01,-8.822338941347684926e-02,4.408032462836735110e-01,1.944123590359179587e+00
9.613226985427960614e-01,-5.405532288254060180e-01,2.530091793578756132e+00,2.076832696608927886e-01
6.668385771714334664e-01,-2.022005721169914949e-01,1.847727599408274246e-01,5.799711327517363957e-01
5.900459480017572478e-02,-4.642574476570439090e-01,6.217464253122232387e-01,1.473723432107363340e+00
6.493780592142314179e-01,-7.539693871133656966e-01,6.023578489905285771e-01,1.148622990974422498e-01
8.092601384966537914e-01,4.797372217043078813e-01,1.395204175150714654e-01,6.543496962260774152e-01
2.129976381540774621e-01,1.700058529322672207e+00,2.217016881278865703e-01,7.618174824109458232e-02
8.542425645231107589e-01,6.657346630843574697e-02,2.464837441001505314e-01,2.049181685155515298e-01
3.633499169547306229e-01,3.399231620320586345e-02,4.688992023123191716e-02,7.003335765266515134e-01
9.114680682365372544e-01,1.245677561294863955e-01,5.579500935010748286e-01,8.602401064553140131e-01
8.224215774216977470e-01,4.550985250750350652e-01,9.425316102866079238e-01,5.075283485443381482e-01
8.948859247365764658e-01,9.836925883975007334e-01,3.046863323935903312e-01,1.396672579469100117e-01
6.535295385181476568e-01,1.892604872345349021e+00,1.038164786096267972e-01,8.280083275662607489e-01
